fund_id,종목명,비중
11 ,엔비디아,22.2
11 ,TSMC,13.2
11 ,브로드컴,7.9
11 ,AMD,4.6
11 ,텍사스 인스트루먼트,4.3
11 ,퀄컴,4.2
11 ,어플라이드머티리얼즈,4.2
11 ,마이크론테크놀로지,4.0
11 ,애널로그디바이시스,4.0
11 ,기타,31.4
12 ,알테오젠,27.34
12 ,HLB,15.65
12 ,리가켐바이오,5.44
12 ,삼천당제약,4.8
12 ,휴젤,3.17
12 ,오스코텍,3.01
12 ,셀트리온제약,2.84
12 ,HLB생명과학,2.59
12 ,에스티팜,2.48
12 ,기타,32.68
13 ,S&P500 스왑,14.87
13 ,S&P500 선물,11.9
13 ,S&P500 ETF,2.03
13 ,원화예금,70.57
14 ,엔비디아,13.98
14 ,브로드컴,10.69
14 ,AMD,8.03
14 ,TSMC,4.43
14 ,마이크론테크놀로지,4.27
14 ,마벭테크놀롤지,4.04
14 ,어플라이드머티리얼즈,4
14 ,인텔,3.98
14 ,램 리서치,3.98
14 ,기타,42.6
15 ,애플,22.21
15 ,마이크로소픝트,19.08
15 ,엔비디아,18.17
15 ,알파벳,12.63
15 ,아마존,10.05
15 ,메타,8.28
15 ,브로드컴,4.49
15 ,테슬라,3.61
15 ,AMD,1.48
16 ,애플,16.2
16 ,마이크로소프트,14.6
16 ,엔비디아,13.7
16 ,메타,5.7
16 ,알파벳A,4.4
16 ,알파벳C,3.7
16 ,브로드컴,3.7
16 ,TSMC,3.3
16 ,텐센트 홀딩스,1.6
16 ,기타,33.1
17 ,메리츠금융지주,28.46
17 ,한국금융지주,16.21
17 ,삼성증권,14.22
17 ,미래에셋증권,12.37
17 ,NH투자증권,9.14
17 ,키움증권,8.89
17 ,신영증권,4.01
17 ,대신증권,2.32
17 ,한화투자증권,1.95
17 ,유진투자증권,1.28
18 ,테슬라,12.9
18 ,애플,12.4
18 ,메타,12
18 ,아마존,10.89
18 ,마이크로소프트,10.7
18 ,알파벳,10.68
18 ,스노우플레이크,10.34
18 ,브로드컴,10.07
18 ,엔비디아,10.03
19 ,애플,11.15
19 ,엔비디아,10.23
19 ,마이크로소프트,9.8
19 ,메타,9.56
19 ,알파벳,9.43
19 ,아마존,7.99
19 ,브로드컴,6.62
19 ,TSMC,6.06
19 ,SAP,2.89
19 ,기타,26.27
20 ,애플,9.51
20 ,마이크로소프트,8.29
20 ,엔비디아,7.81
20 ,브로드컴,5.07
20 ,메타,4.88
20 ,아마존,4.83
20 ,코스트코,2.74
20 ,테슬라,2.69
20 ,알파벳A,2.56
20 ,알파벳C,2.48
1 ,주식,0
1 ,채권,9.7
1 ,펀드,0
1 ,유동자산,5.3
1 ,기타,0
2 ,주식,11.3
2 ,채권,0
2 ,펀드,0
2 ,유동자산,22.2
2 ,기타,63.5
3 ,주식,0
3 ,채권,98.5
3 ,펀드,0
3 ,유동자산,1.5
3 ,기타,0
4 ,주식,2.1
4 ,채권,0
4 ,펀드,0
4 ,유동자산,97.9
4 ,기타,0
5 ,주식,0
5 ,채권,34.9
5 ,펀드,0
5 ,유동자산,56.2
5 ,기타,8.9
6 ,주식,0
6 ,채권,95.2
6 ,펀드,1.9
6 ,유동자산,2.9
6 ,기타,0
7 ,주식,0
7 ,채권,81.3
7 ,펀드,0
7 ,유동자산,18.7
7 ,기타,0
8 ,주식,0
8 ,채권,84.7
8 ,펀드,0
8 ,유동자산,15
8 ,기타,0..3
9 ,주식,0
9 ,채권,75.3
9 ,펀드,14.1
9 ,유동자산,10.6
9 ,기타,0
10 ,주식,0
10 ,채권,90
10 ,펀드,8.1
10 ,유동자산,1.9
10 ,기타,0
