fund_id,asset_management_company,name,fund_type,investment_area,one_year_yield,standard_deviation,max_price,min_price,fund_score,risk_level,sales_volume,asset_management_company_id
1,케이비자산운용,KB RISE 금융채액티브 증권 상장지수 투자신탁(채권),채권형,국내,0.0688,0.0122,102665.1,99716.8,82.22596391497777,6,39200,1
2,미래에셋자산운용,미래에셋TIGERCD금리투자KIS특별자산상장지수투자신탁(CD-파생형)(합성),특별자산파생,국내,0.0355,0.0005,55151.29,53224.63,82.10945699794826,5,5958000,2
3,키움투자자산운용,키움 KOSEF 단기자금 증권상장지수투자신탁[채권],채권형,국내,0.0376,0.0013,104968.9,101278.01,82.020939419281,6,96500,3
4,한화자산운용,한화 PLUS KOFR금리특별자산상장지수투자신탁(금리),특별자산,국내,0.0343,0.0005,105814.04,102234.59,81.99647757975067,6,103700,4
5,브이아이자산운용,브이아이 뉴굿초이스 우량 단기 증권 투자신탁[채권] C-F,채권형,국내,0.0398,0.0008,1040.91,1004.32,81.97523005979185,6,22149,5
6,케이비자산운용,KB RISE 단기 국공채 액티브 증권 상장지수 투자신탁(채권),채권형,국내,0.0397,0.0024,110850.77,106538.55,81.9568836801441,6,203900,1
7,한국투자신탁운용,한국투자 ACE 단기자금 증권 상장지수투자신탁(채권),채권형,국내,0.0361,0.0012,103664.74,100274.4,81.92936411067248,6,121800,6
8,한화자산운용,한화 PLUS 단기채권액티브증권상장지수투자신탁(채권),채권형,국내,0.0423,0.0037,114772.6,110024.19,81.9201909208486,6,38200,4
9,미래에셋자산운용,미래에셋 TIGER 단기채권액티브증권상장지수투자신탁(채권),채권형,국내,0.0368,0.0012,54710.59,52725.94,81.91407546096602,6,622600,2
10,신한자산운용,신한 SOL KIS단기통안채증권상장지수투자신탁[채권],채권형,국내,0.0338,0.0009,108603.98,104978.31,81.8865558914944,6,23800,7
11,삼성자산운용,삼성KODEX미국반도체MV증권상장지수투자신탁[주식],주식형,해외,0.7240000000000001,0.3091,26572.76,12773.0,83.72188465678275,2,246500,8
12,미래에셋자산운용,미래에셋TIGER코스닥150바이오테크증권상장지수투자신탁(주식),주식형,국내,0.7073,0.3499,14097.95,7022.97,77.19964569532293,1,15557,2
13,미래에셋자산운용,미래에셋TIGERS&P500레버리지증권상장지수투자신탁(주식혼합-파생형)(합성 H),혼합주식파생형,해외,0.6788,0.2332,45906.26,24189.49,75.25292847726095,1,14600,2
14,미래에셋자산운용,미래에셋TIGER미국필라델피아반도체나스닥증권상장지수투자신탁(주식),주식형,해외,0.5289,0.3118,34465.05,10227.4,65.44126909975317,2,1473500,2
15,미래에셋자산운용,미래에셋TIGER미국테크TOP10INDXX증권상장지수투자신탁(주식),주식형,해외,0.4915,0.2005,22624.94,13206.66,62.20317386165793,2,1253500,2
16,케이비자산운용,KBRISE글로벌테크놀로지증권상장지수투자신탁(주식-파생형)(합성H),주식파생형,해외,0.4653,0.3243,32361.57,20322.21,60.24726474294197,2,7500,1
17,미래에셋자산운용,미래에셋TIGER증권증권상장지수투자신탁(주식),주식형,국내,0.4651,0.1564,5967.73,3733.2,60.22994872562596,2,3943,2
18,삼성자산운용,삼성KODEX 미국빅테크10증권상장지수투자신탁[주식-파생형](H),주식파생형,해외,0.5111,0.2101,44081.87,26026.86,60.0390276251531,2,138500,8
19,다올자산운용,다올글로벌빅테크1등주증권투자신탁[주식],주식형,해외,0.3862,0.1826,2802.86,1757.81,57.955615,2,109126,9
20,미래에셋자산운용,미래에셋TIGER미국나스닥100증권상장지수투자신탁(주식),주식형,해외,0.4994,0.155,127121.91,85513.1,57.4436348,2,309600,2
